Result,Latitude,Longitude
Direct,53.384182,-2.931910
Direct,53.384210,-2.931967
Direct,53.384217,-2.931970
Direct,53.384230,-2.931987
Direct,53.384208,-2.931965
Direct,53.384227,-2.931955
Direct,53.384203,-2.931938
Direct,53.384225,-2.931887
Direct,53.384202,-2.931935
Direct,53.384232,-2.931953
Direct,53.384207,-2.931928
Direct,53.384172,-2.931838
Direct,53.384167,-2.931885
Direct,53.384172,-2.931985
Direct,53.384188,-2.932103
Direct,53.384192,-2.932168
Direct,53.384200,-2.932128
Direct,53.384207,-2.932123
Direct,53.384200,-2.932097
Direct,53.384198,-2.932033
Direct,53.384198,-2.931925
Direct,53.384200,-2.931848
Direct,53.384193,-2.931842
Direct,53.384190,-2.931832
Direct,53.384182,-2.931832
Direct,53.384173,-2.931818
Direct,53.384163,-2.931735
Direct,53.384172,-2.931820
Direct,53.384173,-2.931810
Direct,53.384165,-2.931772
Direct,53.384160,-2.931770
Direct,53.384155,-2.931677
Direct,53.384145,-2.931677
Direct,53.384138,-2.931655
Direct,53.384105,-2.931497
Direct,53.384085,-2.931393
Direct,53.384092,-2.931408
Direct,53.384117,-2.931375
Direct,53.384120,-2.931310
